"cohort_start_date","renewal_date","cohort_size","cohort_size_at_renewal","plan","amount","currency","cohort_age_months","retention_rate"
"2019-02-01 00:00:00+01","2019-05-01 00:00:00+02","20","14","SMALL","8.95","EUR","3","0.70"
"2019-02-01 00:00:00+01","2019-06-01 00:00:00+02","20","14","SMALL","8.95","EUR","4","0.70"
"2019-02-01 00:00:00+01","2019-07-01 00:00:00+02","20","14","SMALL","8.95","EUR","5","0.70"
"2019-02-01 00:00:00+01","2019-08-01 00:00:00+02","20","12","SMALL","8.95","EUR","6","0.60"
"2019-02-01 00:00:00+01","2019-09-01 00:00:00+02","20","12","SMALL","8.95","EUR","7","0.60"
"2019-02-01 00:00:00+01","2019-10-01 00:00:00+02","20","12","SMALL","8.95","EUR","8","0.60"
"2019-02-01 00:00:00+01","2019-11-01 00:00:00+01","20","11","SMALL","8.95","EUR","9","0.55"
"2019-02-01 00:00:00+01","2019-12-01 00:00:00+01","20","11","SMALL","8.95","EUR","10","0.55"
"2019-02-01 00:00:00+01","2020-01-01 00:00:00+01","20","10","SMALL","8.95","EUR","11","0.50"
"2019-02-01 00:00:00+01","2020-02-01 00:00:00+01","20","9","SMALL","8.95","EUR","12","0.45"
"2019-02-01 00:00:00+01","2020-03-01 00:00:00+01","20","8","SMALL","8.95","EUR","13","0.40"
"2019-02-01 00:00:00+01","2020-04-01 00:00:00+02","20","8","SMALL","8.95","EUR","14","0.40"
"2019-02-01 00:00:00+01","2020-05-01 00:00:00+02","20","8","SMALL","8.95","EUR","15","0.40"
"2019-02-01 00:00:00+01","2020-06-01 00:00:00+02","20","7","SMALL","8.95","EUR","16","0.35"
"2019-02-01 00:00:00+01","2020-07-01 00:00:00+02","20","7","SMALL","8.95","EUR","17","0.35"
"2019-02-01 00:00:00+01","2020-08-01 00:00:00+02","20","6","SMALL","8.95","EUR","18","0.30"
"2019-02-01 00:00:00+01","2020-09-01 00:00:00+02","20","6","SMALL","8.95","EUR","19","0.30"
"2019-02-01 00:00:00+01","2020-10-01 00:00:00+02","20","5","SMALL","8.95","EUR","20","0.25"
"2019-02-01 00:00:00+01","2019-02-01 00:00:00+01","21","21","SMALL","9.95","USD","0","1.00"
"2019-02-01 00:00:00+01","2019-03-01 00:00:00+01","21","18","SMALL","9.95","USD","1","0.86"
"2019-02-01 00:00:00+01","2019-04-01 00:00:00+02","21","15","SMALL","9.95","USD","2","0.71"
"2019-02-01 00:00:00+01","2019-05-01 00:00:00+02","21","15","SMALL","9.95","USD","3","0.71"
"2019-02-01 00:00:00+01","2019-06-01 00:00:00+02","21","13","SMALL","9.95","USD","4","0.62"
"2019-02-01 00:00:00+01","2019-07-01 00:00:00+02","21","12","SMALL","9.95","USD","5","0.57"
"2019-02-01 00:00:00+01","2019-08-01 00:00:00+02","21","12","SMALL","9.95","USD","6","0.57"
"2019-02-01 00:00:00+01","2019-09-01 00:00:00+02","21","11","SMALL","9.95","USD","7","0.52"
"2019-02-01 00:00:00+01","2019-10-01 00:00:00+02","21","11","SMALL","9.95","USD","8","0.52"
"2019-02-01 00:00:00+01","2019-11-01 00:00:00+01","21","10","SMALL","9.95","USD","9","0.48"
"2019-02-01 00:00:00+01","2019-12-01 00:00:00+01","21","10","SMALL","9.95","USD","10","0.48"
"2019-02-01 00:00:00+01","2020-01-01 00:00:00+01","21","10","SMALL","9.95","USD","11","0.48"
"2019-02-01 00:00:00+01","2020-02-01 00:00:00+01","21","9","SMALL","9.95","USD","12","0.43"
"2019-02-01 00:00:00+01","2020-03-01 00:00:00+01","21","7","SMALL","9.95","USD","13","0.33"
"2019-02-01 00:00:00+01","2020-04-01 00:00:00+02","21","7","SMALL","9.95","USD","14","0.33"
"2019-02-01 00:00:00+01","2020-05-01 00:00:00+02","21","7","SMALL","9.95","USD","15","0.33"
"2019-02-01 00:00:00+01","2020-06-01 00:00:00+02","21","7","SMALL","9.95","USD","16","0.33"
"2019-02-01 00:00:00+01","2020-07-01 00:00:00+02","21","6","SMALL","9.95","USD","17","0.29"
"2019-02-01 00:00:00+01","2020-08-01 00:00:00+02","21","5","SMALL","9.95","USD","18","0.24"
"2019-02-01 00:00:00+01","2020-09-01 00:00:00+02","21","5","SMALL","9.95","USD","19","0.24"
"2019-02-01 00:00:00+01","2020-10-01 00:00:00+02","21","4","SMALL","9.95","USD","20","0.19"
"2019-02-01 00:00:00+01","2020-11-01 00:00:00+01","21","4","SMALL","9.95","USD","21","0.19"
"2019-02-01 00:00:00+01","2020-12-01 00:00:00+01","21","4","SMALL","9.95","USD","22","0.19"
"2019-02-01 00:00:00+01","2019-02-01 00:00:00+01","5","5","MEDIUM","12.95","EUR","0","1.00"
"2019-02-01 00:00:00+01","2019-03-01 00:00:00+01","5","4","MEDIUM","12.95","EUR","1","0.80"
"2019-02-01 00:00:00+01","2019-04-01 00:00:00+02","5","4","MEDIUM","12.95","EUR","2","0.80"
"2019-02-01 00:00:00+01","2019-05-01 00:00:00+02","5","3","MEDIUM","12.95","EUR","3","0.60"
"2019-02-01 00:00:00+01","2019-06-01 00:00:00+02","5","3","MEDIUM","12.95","EUR","4","0.60"
"2019-02-01 00:00:00+01","2019-07-01 00:00:00+02","5","3","MEDIUM","12.95","EUR","5","0.60"
"2019-02-01 00:00:00+01","2019-08-01 00:00:00+02","5","3","MEDIUM","12.95","EUR","6","0.60"
"2019-02-01 00:00:00+01","2019-09-01 00:00:00+02","5","2","MEDIUM","12.95","EUR","7","0.40"
"2019-02-01 00:00:00+01","2019-10-01 00:00:00+02","5","2","MEDIUM","12.95","EUR","8","0.40"
"2019-02-01 00:00:00+01","2019-11-01 00:00:00+01","5","2","MEDIUM","12.95","EUR","9","0.40"
"2019-02-01 00:00:00+01","2019-12-01 00:00:00+01","5","2","MEDIUM","12.95","EUR","10","0.40"
"2019-02-01 00:00:00+01","2020-01-01 00:00:00+01","5","2","MEDIUM","12.95","EUR","11","0.40"
"2019-02-01 00:00:00+01","2020-02-01 00:00:00+01","5","2","MEDIUM","12.95","EUR","12","0.40"
"2019-02-01 00:00:00+01","2020-03-01 00:00:00+01","5","2","MEDIUM","12.95","EUR","13","0.40"
"2019-02-01 00:00:00+01","2020-04-01 00:00:00+02","5","2","MEDIUM","12.95","EUR","14","0.40"
"2019-02-01 00:00:00+01","2020-05-01 00:00:00+02","5","2","MEDIUM","12.95","EUR","15","0.40"
"2019-02-01 00:00:00+01","2020-06-01 00:00:00+02","5","2","MEDIUM","12.95","EUR","16","0.40"
"2019-02-01 00:00:00+01","2020-07-01 00:00:00+02","5","2","MEDIUM","12.95","EUR","17","0.40"
"2019-02-01 00:00:00+01","2020-08-01 00:00:00+02","5","2","MEDIUM","12.95","EUR","18","0.40"
"2019-02-01 00:00:00+01","2020-09-01 00:00:00+02","5","2","MEDIUM","12.95","EUR","19","0.40"
"2019-02-01 00:00:00+01","2020-10-01 00:00:00+02","5","1","MEDIUM","12.95","EUR","20","0.20"
"2019-02-01 00:00:00+01","2019-02-01 00:00:00+01","6","6","MEDIUM","14.95","USD","0","1.00"
"2019-02-01 00:00:00+01","2019-03-01 00:00:00+01","6","6","MEDIUM","14.95","USD","1","1.00"
"2019-02-01 00:00:00+01","2019-04-01 00:00:00+02","6","5","MEDIUM","14.95","USD","2","0.83"
"2019-02-01 00:00:00+01","2019-05-01 00:00:00+02","6","4","MEDIUM","14.95","USD","3","0.67"
"2019-02-01 00:00:00+01","2019-06-01 00:00:00+02","6","4","MEDIUM","14.95","USD","4","0.67"
"2019-02-01 00:00:00+01","2019-07-01 00:00:00+02","6","3","MEDIUM","14.95","USD","5","0.50"
"2019-02-01 00:00:00+01","2019-08-01 00:00:00+02","6","3","MEDIUM","14.95","USD","6","0.50"
"2019-02-01 00:00:00+01","2019-09-01 00:00:00+02","6","3","MEDIUM","14.95","USD","7","0.50"
"2019-02-01 00:00:00+01","2019-10-01 00:00:00+02","6","3","MEDIUM","14.95","USD","8","0.50"
"2019-02-01 00:00:00+01","2019-11-01 00:00:00+01","6","2","MEDIUM","14.95","USD","9","0.33"
"2019-02-01 00:00:00+01","2019-12-01 00:00:00+01","6","2","MEDIUM","14.95","USD","10","0.33"
"2019-02-01 00:00:00+01","2020-01-01 00:00:00+01","6","1","MEDIUM","14.95","USD","11","0.17"
"2019-02-01 00:00:00+01","2020-02-01 00:00:00+01","6","1","MEDIUM","14.95","USD","12","0.17"
"2019-02-01 00:00:00+01","2020-03-01 00:00:00+01","6","1","MEDIUM","14.95","USD","13","0.17"
"2019-02-01 00:00:00+01","2020-04-01 00:00:00+02","6","1","MEDIUM","14.95","USD","14","0.17"
"2019-02-01 00:00:00+01","2020-05-01 00:00:00+02","6","1","MEDIUM","14.95","USD","15","0.17"
"2019-02-01 00:00:00+01","2020-06-01 00:00:00+02","6","1","MEDIUM","14.95","USD","16","0.17"
"2019-02-01 00:00:00+01","2020-07-01 00:00:00+02","6","1","MEDIUM","14.95","USD","17","0.17"
"2019-02-01 00:00:00+01","2020-08-01 00:00:00+02","6","1","MEDIUM","14.95","USD","18","0.17"
"2019-02-01 00:00:00+01","2020-09-01 00:00:00+02","6","1","MEDIUM","14.95","USD","19","0.17"
"2019-02-01 00:00:00+01","2019-02-01 00:00:00+01","4","4","LARGE","15.95","EUR","0","1.00"
"2019-02-01 00:00:00+01","2019-03-01 00:00:00+01","4","3","LARGE","15.95","EUR","1","0.75"
"2019-02-01 00:00:00+01","2019-04-01 00:00:00+02","4","3","LARGE","15.95","EUR","2","0.75"
"2019-02-01 00:00:00+01","2019-05-01 00:00:00+02","4","1","LARGE","15.95","EUR","3","0.25"
"2019-02-01 00:00:00+01","2019-06-01 00:00:00+02","4","1","LARGE","15.95","EUR","4","0.25"
"2019-02-01 00:00:00+01","2019-07-01 00:00:00+02","4","1","LARGE","15.95","EUR","5","0.25"
